--------Result---------------
[94, 'A321', 'VJ607', 420, 540, 40, 'A321', 'VN116', 0.052702702702702706, 0.052702702702702706]
[95, 'A321', 'VJ124', 425, 540, 41, 'A321', 'VN7380', 0.052702702702702706, 0.052702702702702706]
[96, '-', '-', -5, 540, 42, 'A321', 'VJ244', 0.052702702702702706, 0.052702702702702706]
[97, 'B738', 'MF8006', 480, 540, 15, 'AT72', '0V8057', 0.052702702702702706, 0.052702702702702706]
[98, '-', '-', -5, 540, 43, 'A321', 'VN226', 0.052702702702702706, 0.052702702702702706]
[99, '-', '-', -5, 540, 51, 'A321', 'VN404', 0.093879173290938, 0.093879173290938]
[100, 'A320', 'VJ274', 480, 540, 55, 'A320', 'VJ809', 0.1382290184921764, 0.1382290184921764]
[101, '-', '-', -5, 540, 52, 'A321', 'VJ811', 0.17251837090546768, 0.17251837090546768]
[102, 'A321', 'VN114', 510, 545, 9, 'A321', 'VN1344', 0.052702702702702706, 0.0527027027027027]
[103, 'A321', 'VJ801', 515, 550, 31, 'A321', 'VN1823', 0.052702702702702706, 0.052702702702702706]
[104, 'B747', 'KE395', 430, 550, 6, 'B747', 'KE396', 0.052702702702702706, 0.052702702702702706]
[105, 'B788', 'QR972', 475, 555, 13, 'B788', 'QR973', 0.052702702702702706, 0.052702702702702706]
[106, 'A321', 'VN211', 520, 570, 8, 'AT72', '0V8059', 0.0527027027027027, 0.0527027027027027]
[107, 'A321', 'VN651', 535, 570, 1, 'A321', 'VJ126', 0.052702702702702706, 0.052702702702702706]
[108, '-', '-', -5, 570, 54, 'A321', 'BL752', 0.052702702702702706, 0.052702702702702706]
[109, 'A320', 'QH1970', 530, 570, 36, 'A320', 'VJ825', 0.1508622119051567, 0.1508622119051567]
[110, '-', '-', -5, 570, 71, 'A321', 'VN943', 0.07834372834372835, 0.07834372834372835]
[111, 'A320', 'VJ320', 510, 575, 63, 'A320', 'VJ339', 0.052702702702702706, 0.052702702702702706]
[112, 'A321', 'VN581', 570, 585, 72, 'A321', 'VN582', 0.052702702702702706, 0.052702702702702706]
[113, 'A320', 'VJ371', 540, 585, 56, 'A320', 'VJ858', 0.1336275581940322, 0.1336275581940322]
[114, 'A320', 'FD656', 555, 585, 58, 'A320', 'FD657', 0.052702702702702706, 0.052702702702702706]
[115, 'A321', 'VN1344', 545, 590, 9, 'A320', 'BL758', 0.052702702702702706, 0.0527027027027027]
[116, 'A321', 'VN217', 550, 590, 34, 'A321', 'VN631', 0.09074618096357227, 0.09074618096357227]
[117, 'B738', 'DD3210', 545, 590, 4, 'B738', 'DD3211', 0.052702702702702706, 0.052702702702702706]
[118, 'A321', 'VJ207', 565, 600, 2, 'A321', 'VN120', 0.052702702702702706, 0.052702702702702706]
