
======Show the result======
[89, 'AT72', 'K6809', 500, 530, 3, 'A320', 'QH1970', 1, 0.02884615, 2, 0.03678266]
[90, 'A320', 'AK1490', 500, 530, 38, 'A320', 'AK1491', 1, 0.36538462, 1, 0.37067562]
[91, 'A320', 'BL666', 420, 535, 41, 'A321', 'VN651', 1, 0.39423077, 0, 0.39687627]
[92, 'A320', '3K555', 495, 535, 42, 'A320', '3K556', 0, 0.40384615, 2, 0.40913716]
[93, 'A320', 'TR304', 495, 535, 43, 'A320', 'TR305', 0, 0.41346154, 1, 0.41610704]
[94, 'A321', 'VN114', 510, 540, 1, 'A321', 'VN116', 0, 0.00961538, 0, 0.00961538]
[95, 'AT72', '0V8055', 510, 540, 31, 'A321', 'VN7380', 0, 0.29807692, 7, 0.31659544]
[96, 'A321', 'VN224', 510, 540, 32, 'A321', 'VJ244', 0, 0.30769231, 6, 0.32356532]
[97, 'AT72', 'K6839', 510, 540, 36, 'AT72', '0V8057', 0, 0.34615385, 5, 0.35938136]
[98, 'A320', 'VJ242', 365, 540, 51, 'A321', 'VN226', 0, 0.49038462, 4, 0.50096663]
[99, 'A320', 'VJ212', 375, 540, 52, 'A321', 'VN404', 0, 0.5, 3, 0.50793651]
[100, 'A320', 'BL746', 380, 540, 53, 'A320', 'VJ809', 0, 0.50961538, 2, 0.51490639]
[101, 'A320', 'CZ6041', 480, 540, 54, 'A321', 'VJ811', 0, 0.51923077, 1, 0.52187627]
[102, 'A321', 'VJ801', 515, 545, 2, 'A321', 'VN1344', 0, 0.01923077, 1, 0.02187627]
[103, 'A321', 'VN601', 520, 550, 33, 'A321', 'VN1823', 0, 0.31730769, 2, 0.3225987]
[104, 'B747', 'KE395', 430, 550, 6, 'B747', 'KE396', 0, 0.05769231, 1, 0.00961538]
[105, 'B788', 'QR972', 475, 555, 9, 'B788', 'QR973', 0, 0.08653846, 1, 0.00961538]
[106, 'A321', 'VN116', 540, 570, 1, 'AT72', '0V8059', 1, 0.00961538, 0, 0.01226089]
[107, 'A321', 'VN7380', 540, 570, 31, 'A321', 'VJ126', 2, 0.29807692, 4, 0.31394994]
[108, 'A321', 'VJ244', 540, 570, 32, 'A321', 'BL752', 2, 0.30769231, 3, 0.32091982]
[109, 'A320', 'QH1970', 530, 570, 3, 'A320', 'VJ825', 2, 0.02884615, 2, 0.03942816]
[110, 'A320', 'BL458', 525, 570, 34, 'A321', 'VN943', 2, 0.32692308, 1, 0.33485958]
[111, 'A320', 'VJ320', 510, 575, 55, 'A320', 'VJ339', 2, 0.52884615, 1, 0.53678266]
[112, 'A321', 'VN581', 570, 585, 37, 'A321', 'VN582', 1, 0.35576923, 3, 0.36635124]
[113, 'A321', 'VN1344', 545, 585, 2, 'A320', 'VJ858', 0, 0.01923077, 2, 0.02452177]
[114, 'A320', 'FD656', 555, 585, 40, 'A320', 'FD657', 0, 0.38461538, 1, 0.38726089]
[115, 'A321', 'VN1823', 550, 590, 33, 'A320', 'BL758', 0, 0.31730769, 0, 0.31730769]
[116, 'A320', 'AK1490', 530, 590, 38, 'A321', 'VN631', 0, 0.36538462, 2, 0.37067562]
[117, 'B738', 'DD3210', 545, 590, 4, 'B738', 'DD3211', 0, 0.03846154, 1, 0.04110704]
[118, 'AT72', '0V8059', 570, 600, 1, 'A321', 'VN120', 0, 0.00961538, 0, 0.00961538]
[119, 'A320', 'VJ825', 570, 600, 3, 'A320', 'VJ386', 1, 0.02884615, 3, 0.03942816]
[120, 'A321', 'VJ126', 570, 600, 31, 'AT72', '0V8063', 1, 0.29807692, 2, 0.30601343]
[121, 'A350', 'VN522', 445, 600, 5, 'B787', 'VN228', 1, 0.04807692, 1, 0.05336793]
[122, 'A321', 'BL752', 570, 605, 32, 'A321', 'VN502', 1, 0.30769231, 2, 0.31562882]
[124, 'A321', 'VN943', 570, 610, 34, 'A321', 'VJ323', 2, 0.32692308, 0, 0.33221408]
[125, 'AT72', '0V8057', 540, 610, 36, 'A320', 'BL512', 2, 0.34615385, 2, 0.35673586]
[126, 'A321', 'VN651', 535, 610, 41, 'A320', 'VJ276', 2, 0.39423077, 1, 0.40216728]
[127, 'A320', 'VJ627', 575, 615, 42, 'A320', 'VJ630', 2, 0.40384615, 1, 0.41178266]
[128, 'A320', 'VJ858', 585, 620, 2, 'A321', 'VJ378', 1, 0.01923077, 0, 0.02187627]
[129, 'A320', 'BL758', 590, 625, 33, 'A321', 'VJ852', 1, 0.31730769, 1, 0.3225987]
[130, 'A321', 'VN120', 600, 630, 1, 'A321', 'VN1384', 0, 0.00961538, 3, 0.01755189]
[131, 'AT72', '0V8063', 600, 630, 31, 'A321', 'VN1184', 0, 0.29807692, 2, 0.30336793]
[132, 'A321', 'VN219', 580, 630, 43, 'A321', 'VN230', 0, 0.41346154, 1, 0.41610704]
[133, 'A321', 'VN502', 605, 635, 32, 'A321', 'VN1264', 0, 0.30769231, 0, 0.30769231]
[134, 'A321', 'VN581', 585, 635, 37, 'A321', 'VN594', 0, 0.35576923, 1, 0.35841473]
[135, 'A321', 'QH215', 550, 640, 71, 'A321', 'QH218', 0, 0.68269231, 1, 0.68533781]
[136, 'A321', 'VJ378', 620, 650, 2, 'A321', 'VJ138', 0, 0.01923077, 0, 0.01923077]
[138, 'A321', 'VN1384', 630, 660, 1, 'A321', 'VN122', 0, 0.00961538, 0, 0.00961538]
[139, 'A321', 'VN1184', 630, 660, 31, 'A321', 'VN1460', 0, 0.29807692, 3, 0.30601343]
[140, 'A321', 'VN223', 610, 660, 51, 'A321', 'VN232', 0, 0.49038462, 2, 0.49567562]
[141, 'B738', 'MH750', 600, 660, 6, 'B738', 'MH751', 0, 0.05769231, 1, 0.06033781]
[142, 'A321', 'VN7207', 615, 665, 40, 'A321', 'VN7216', 0, 0.38461538, 2, 0.38990639]
[143, 'A320', 'VJ386', 600, 665, 3, 'A320', 'VJ890', 1, 0.02884615, 1, 0.03413716]
[144, 'A321', 'VN1264', 635, 670, 32, 'A321', 'VN1372', 1, 0.30769231, 3, 0.31827432]
[145, 'A321', 'VJ852', 625, 670, 33, 'A321', 'VJ278', 1, 0.31730769, 2, 0.3252442]
[146, 'A321', 'VJ323', 610, 670, 34, 'A321', 'VN1274', 1, 0.32692308, 1, 0.33221408]
[147, 'A321', 'VN594', 635, 675, 37, 'A321', 'VJ803', 1, 0.35576923, 2, 0.36370574]
[148, 'B773', 'CX767', 615, 675, 11, 'B773', 'CX766', 1, 0.10576923, 1, 0.11106024]
[149, 'B738', 'AE1857', 620, 680, 4, 'B738', 'AE1858', 1, 0.03846154, 1, 0.04375254]
[150, 'A321', 'VJ138', 650, 685, 2, 'AT72', '0V8067', 1, 0.01923077, 0, 0.02187627]
[151, 'A321', 'VN631', 590, 685, 38, 'A321', 'VJ891', 1, 0.36538462, 1, 0.36538462]
[152, 'A321', 'VN122', 660, 690, 1, 'A321', 'VN234', 1, 0.00961538, 2, 0.01755189]
[153, 'A321', 'VN1460', 660, 690, 31, 'A321', 'VN605', 1, 0.29807692, 1, 0.30336793]
[154, 'A321', 'VJ687', 360, 695, 72, 'A321', 'VJ602', 1, 0.69230769, 2, 0.7002442]
[155, 'A320', 'VJ890', 665, 695, 3, 'A320', 'BL672', 1, 0.02884615, 1, 0.03413716]
[156, 'A321', 'VJ687', 670, 705, 32, 'A321', 'BL313', 1, 0.30769231, 1, 0.02884615]
[157, 'A321', 'VJ278', 670, 710, 33, 'A320', 'BL424', 0, 0.31730769, 2, 0.3225987]
[158, 'A321', 'VN1274', 670, 710, 34, 'A320', 'BL432', 0, 0.32692308, 1, 0.32956858]
[159, 'A321', 'CZ3069', 660, 715, 41, 'A321', 'CZ3070', 0, 0.39423077, 1, 0.39687627]
[160, 'A321', 'VN234', 690, 720, 1, 'A321', 'VN124', 0, 0.00961538, 0, 0.00961538]
[161, 'AT72', '0V8067', 685, 720, 2, 'A321', 'VN7392', 0, 0.01923077, 3, 0.02716728]
[162, 'A321', 'VN225', 670, 720, 42, 'A321', 'VN236', 0, 0.40384615, 2, 0.40913716]
[163, 'A321', 'VN605', 690, 720, 31, 'A320', 'BL133', 0, 0.29807692, 1, 0.30072243]
[164, 'A321', 'VJ803', 675, 725, 37, 'A321', 'VN1815', 0, 0.35576923, 2, 0.36106024]
[165, 'A350', 'OZ731', 665, 725, 5, 'A350', 'OZ732', 0, 0.04807692, 1, 0.05072243]
[166, 'A320', 'BL672', 695, 730, 3, 'AT72', 'K6817', 0, 0.02884615, 0, 0.02884615]
[167, 'A321', 'BL313', 705, 745, 32, 'AT72', '0V8073', 1, 0.30769231, 1, 0.31298331]
[169, 'A321', 'VN124', 720, 755, 1, 'A321', 'VN1426', 1, 0.00961538, 0, 0.01226089]
[170, 'A321', 'VN7392', 720, 755, 2, 'A320', 'BL764', 0, 0.01923077, 1, 0.02187627]
[171, 'A321', 'VJ621', 580, 760, 52, 'A321', 'VJ660', 0, 0.5, 4, 0.51058201]
[172, 'A321', 'VN1345', 720, 760, 38, 'A321', 'VN1346', 0, 0.36538462, 3, 0.37332112]
[173, 'A320', 'BL133', 720, 760, 31, 'A321', 'VJ220', 0, 0.29807692, 2, 0.30336793]
[174, 'A320', 'AK528', 730, 760, 36, 'A320', 'AK529', 0, 0.34615385, 1, 0.34879935]
[175, 'B773', 'BR391', 700, 770, 8, 'B773', 'BR392', 0, 0.07692308, 1, 0.07956858]
